title,director,cast,country,release_year,duration,listed_in
Angry Indian Goddesses,Pan Nalin,"Amrit Maghera, Rajshri Deshpande, Pavleen Gujral, Anushka Manchanda, Sandhya Mridul, Sarah-Jane Dias, Tannishtha Chatterjee, Adil Hussain, Arjun Mathur, Anuj Choudhry","India, Germany",2015,104,"Dramas, Independent Movies, International Movies"
ANIMA,Paul Thomas Anderson,Thom Yorke,United Kingdom,2019,15,"Dramas, Independent Movies, Music & Musicals"
Animal World,Han Yan,"Li Yi Feng, Zhou Dongyu, Michael Douglas, Bingkun Cao, Ge Wang, Keanu Chi, Zhang Jungyi, Yijuan Li, Su Ke",China,2018,130,"Action & Adventure, International Movies, Sci-Fi & Fantasy"
Anjaan,N. Linguswamy,"Suriya, Samantha Ruth Prabhu, Vidyut Jammwal, Manoj Bajpayee, Soori",India,2014,146,"Action & Adventure, Dramas, International Movies"
Anjelah Johnson: Not Fancy,Jay Karas,Anjelah Johnson-Reyes,United States,2015,64,Stand-Up Comedy
Ankur Arora Murder Case,Sohail Tatari,"Kay Kay Menon, Tisca Chopra, Arjun Mathur, Paoli Dam, Vishakha Singh, Manish Chaudhary, Vishesh Tiwari, Harsh Chhaya",India,2013,127,"Dramas, International Movies, Thrillers"
Annabelle Hooper and the Ghosts of Nantucket,Paul Serafini,"Bailee Madison, Robert Capron, Rachel Resheff, Mavrick Moreno, Whitney Goin, Gary Weeks, Juliana Harkavy, Kevin B. McGlynn, Jamison Stern, Mia Matthews, Bianca Matthews",United States,2016,92,Children & Family Movies
Another Forever,Juan Zapata,"Daniela Escobar, Marlon Moreno, Peter Ketnath, Barbara Scolaro","Brazil, Netherlands, United States, Colombia, Austria, Germany",2016,72,"Dramas, Independent Movies, International Movies"
Antar: Son of Shadad,Sherif Ismail,"Mohamed Henedi, Bassem Samra, Dorra Zarrouk, Lotfy Labib",Egypt,2017,110,"Comedies, International Movies"
Anthony Jeselnik: Fire in the Maternity Ward,Marcus Raboy,Anthony Jeselnik,United States,2019,64,Stand-Up Comedy
Anthony Jeselnik: Thoughts and Prayers,Adam Dubin,Anthony Jeselnik,United States,2015,59,Stand-Up Comedy
Antidote,Ken Barbet,"Randy Couture, Chuck Zito, Wil Traval, Celeste Thornton, Rafael De La Fuente, Alyona Chekhova, Natali Yura, Thom Rivera",United States,2018,90,"Action & Adventure, Horror Movies"
Anwar,Manish Jha,"Siddharth Koirala, Nauheed Cyrusi, Manisha Koirala, Rajpal Yadav, Yashpal Sharma, Vijay Raaz, Hiten Tejwani, Sudhir Pandey, Sanjay Mishra, Lalit Tiwari",India,2007,134,"Dramas, Independent Movies, International Movies"
APEX: The Story of the Hypercar,"J.F. Musial, Josh Vietze",Zachary Levi,United States,2016,86,Documentaries
April and the Extraordinary World,"Christian Desmares, Franck Ekinci","Angela Galuppo, Paul Giamatti, Susan Sarandon, Tony Hale, J.K. Simmons, Tony Robinow, Mark Camacho, Tod Fennell, Carlos Alazraqui, Kari Wahlgren","France, Canada, Belgium",2015,107,"Action & Adventure, Comedies, International Movies"
"Aram, Aram",Christopher Chambers,"John Roohinian, Levon Sharafyan, Sevak Hakoyan, David Villada, Mike Ghader, Razmik Mansuryan, Lorita Meg, Amy Sanders, Alla Tumanian",United States,2015,79,"Dramas, Independent Movies"
Arjun: The Warrior Prince,Arnab Chaudhuri,"Yudhveer Bakoliya, Ashok Banthia, Ravi Khanwilkar, Vijay Kashyap, Ila Arun, Sachin Khedekar, Rajeshwari Sachdev, Hemanth Mahaur",India,2011,91,"Action & Adventure, Dramas, International Movies"
ARQ,Tony Elliott,"Robbie Amell, Rachael Taylor, Shaun Benson, Gray Powell, Jacob Neayem, Adam Butcher, Tantoo Cardinal","Canada, United States",2016,89,"International Movies, Sci-Fi & Fantasy, Thrillers"
As Good as It Gets,James L. Brooks,"Jack Nicholson, Helen Hunt, Greg Kinnear, Cuba Gooding Jr., Skeet Ulrich, Shirley Knight, Yeardley Smith, Lupe Ontiveros",United States,1997,139,"Comedies, Romantic Movies"
Asees,Rana Ranbir,"Rana Ranbir, Neha Pawar, Kuljinder Sidhu, Rupinder Roopi, Sardar Sohi, Pardeep Sran, Seema Kaushal, Rajvir Boparai",India,2018,123,"Dramas, International Movies, Music & Musicals"
Asoka,Santosh Sivan,"Shah Rukh Khan, Kareena Kapoor, Danny Denzongpa, Rahul Dev, Hrishitaa Bhatt, Gerson Da Cunha, Subhashini Ali, Umesh Mehra, Sooraj Balaji",India,2001,168,"Action & Adventure, Dramas, International Movies"
Assimilate,John Murlowski,"Joel Courtney, Calum Worthy, Andi Matichak, Katherine McNamara, Cam Gigandet, Mason McNulty, Terry Dale Parks, Vito Viscuso, Jennifer Pierce Mathus, Kevin Remington",United States,2019,94,"Horror Movies, Sci-Fi & Fantasy, Thrillers"
Asura: The City of Madness,Sung-soo Kim,"Jung-min Hwang, Do-won Kwak, Man-sik Jung, Woo-sung Jung",South Korea,2016,133,"Action & Adventure, Dramas, International Movies"
At All Costs,Mike Nicoll,"Parker Jackson Cartwright, Gabe York",United States,2016,81,"Documentaries, Sports Movies"
Atlantics,Mati Diop,"Mama Sane, Amadou Mbow, Ibrahima Traore, Nicole Sougou, Amina Kane, Mariama Gassama, Coumba Dieng, Ibrahima Mbaye, Diankou Sembene","France, Senegal, Belgium",2019,106,"Dramas, Independent Movies, International Movies"
ATM,Mez Tharatorn,"Chantavit Dhanasevi, Preechaya Pongthananikorn, Chaleumpol Tikumpornteerawong, Thawat Pornrattanaprasert, Sananthachat Thanapatpisal, Pongkool Suebsung, Puttachat Pongsuchat, Gornpop Janjaroen, Yanee Tramoth, Pongsatorn Jongwilak","United States, Canada",2012,122,"Comedies, International Movies, Romantic Movies"
Attacking the Devil: Harold Evans and the Last Nazi War Crime,"David Morris, Jacqui Morris",Harold Evans,United Kingdom,2014,102,"Documentaries, International Movies"
Aurora,Yam Laranas,"Anne Curtis, Phoebe Villamor, Mercedes Cabral, Allan Paule, Andrea Del Rosario, Marco Gumabao, Arnold Reyes, Ricardo Cepeda, Ruby Ruiz, Sue Prado",Philippines,2018,98,"Horror Movies, International Movies"
Auschwitz: Blueprints of Genocide,Mike Rossiter,Roy Marsden,United Kingdom,1994,49,Documentaries
Austin Powers: International Man of Mystery,Jay Roach,"Mike Myers, Elizabeth Hurley, Michael York, Mimi Rogers, Robert Wagner, Seth Green, Fabiana Udenio, Mindy Sterling, Paul Dillon, Charles Napier, Will Ferrell",United States,1997,90,Comedies
Austin Powers: The Spy Who Shagged Me,Jay Roach,"Mike Myers, Heather Graham, Michael York, Robert Wagner, Rob Lowe, Seth Green, Mindy Sterling, Verne Troyer, Elizabeth Hurley, Will Ferrell",United States,1999,95,"Action & Adventure, Comedies, Sci-Fi & Fantasy"
Autohead,Rohit Mittal,"Deepak Sampat, Ronjini Chakroborty, Vikrant Singh, Jhanvi Dwivedi, Ajay Mishra, Rohit Mittal, Sunny Banerjee, Ravidev Singh",India,2016,97,"Dramas, International Movies, Thrillers"
Avengement,Jesse V. Johnson,"Scott Adkins, Craig Fairbrass, Thomas Turgoose, Nick Moran, Kierston Wareing, Mark Strange, Leo Gregory, Luke LaFontaine, Beau Fowler, Dan Styles",United Kingdom,2019,88,Action & Adventure
Avengers: Infinity War,"Anthony Russo, Joe Russo","Robert Downey Jr., Josh Brolin, Mark Ruffalo, Tom Hiddleston, Chris Evans, Chris Hemsworth, Jeremy Renner, Chris Pratt, Elizabeth Olsen, Sebastian Stan, Benedict Cumberbatch, Paul Bettany, Cobie Smulders, Benedict Wong, Zoe Saldana, Karen Gillan, Vin Diesel, Dave Bautista, Bradley Cooper, Pom Klementieff, Scarlett Johansson, Benicio Del Toro, Anthony Mackie, Chadwick Boseman, Danai Gurira, Paul Rudd, Don Cheadle, Tom Holland",United States,2018,150,"Action & Adventure, Sci-Fi & Fantasy"
Avicii: True Stories,Levan Tsikurishvili,Avicii,"Sweden, Netherlands",2017,97,"Documentaries, International Movies, Music & Musicals"
Await Further Instructions,Johnny Kevorkian,"Sam Gittins, Grant Masters, Neerja Naik, Abigail Cruttenden, Kris Saddler, Holly Weston, David Bradley",United Kingdom,2018,91,"Horror Movies, Sci-Fi & Fantasy"
Awake,"Aleksandr Chernyaev, Fedor Lyass","Jonathan Rhys Meyers, Francesca Eastwood, Malik Yoba, William Forsythe, James Austin Kerr, Jeremy Parr",United States,2019,92,Thrillers
Awe,Prasanth Varma,"Kajal Aggarwal, Nithya Menon, Regina Cassandra, Eesha Rebba, Murli Sharma, Srinivas Avasarala, Priyadarshi Pullikonda",India,2018,111,"Dramas, International Movies, Sci-Fi & Fantasy"
Ayana,Gangadhar Salimath,"Deepak Subramanya, Apoorva Soma, Ramesh Bhat, Harsha H S, Karthik A, Goutham Shashidhar, Nagshree Karkone, Moksha Kushal, Vedashree Rao",India,2017,112,"Dramas, International Movies"
Aziz Ansari Live at Madison Square Garden,Aziz Ansari,Aziz Ansari,United States,2015,58,Stand-Up Comedy
Aziz Ansari: Buried Alive,"Will Lovelace, Dylan Southern",Aziz Ansari,United States,2013,80,Stand-Up Comedy
Aziz Ansari: RIGHT NOW,Spike Jonze,Aziz Ansari,United States,2019,65,Stand-Up Comedy
B.A. Pass,Ajay Bahl,"Shadab Kamal, Shilpa Shukla, Rajesh Sharma, Dibyendu Bhattacharya, Vijay Kaushik, Anula Navlekar, Happy Ranjit, Raveena Singh, Padam Mishra",India,2013,99,"Dramas, Independent Movies, International Movies"
Baaghi,Sabir Khan,"Tiger Shroff, Shraddha Kapoor, Sudheer Babu, Paras Arora, Sunil Grover, Sourav Chakraborty, Shaurya Bhardawaj",India,2016,127,"Action & Adventure, International Movies"
Baazaar,Gauravv K Chawla,"Saif Ali Khan, Chitrangada Singh, Radhika Apte, Rohan Vinod Mehra, Manish Chaudhary, Denzil Smith, Pawan Chopra, Deepak Gheewala, Utkarsh Mazumdar, Danish Hussain",India,2018,136,"Dramas, International Movies"
Baby Dolls,Vijay Kumar Arora,"Nirmal Rishi, Sonam Bajwa, Sukhwinder Chahal, Tania, Gurnam Bhullar",India,2019,127,"Comedies, International Movies, Romantic Movies"
Back of the Net,Louise Alston,"Sofia Wylie, Tiarnie Coupland, Trae Robin, Gemma Chua-Tran, Ashleigh Ross, Yasmin Honeychurch, Raj Labade, Christopher Kirby, Melissa Bonne, Kate Box",Australia,2019,86,"Children & Family Movies, Sports Movies"
Backcountry,Adam MacDonald,"Missy Peregrym, Jeff Roop, Eric Balfour, Nicholas Campbell",Canada,2014,92,"Horror Movies, Independent Movies, Thrillers"
Backtrack,Michael Petroni,"Adrien Brody, Sam Neill, Robin McLeavy, Bruce Spence, Jenni Baird, Chloe Bayliss, Anna Lise Phillips, George Shevtsov","Australia, United Kingdom, United Arab Emirates, Canada",2015,90,"Dramas, Thrillers"
Bad Genius,Nattawut Poonpiriya,"Chutimon Chuengcharoensukying, Chanon Santinatornkul, Teeradon Supapunpinyo, Eisaya Hosuwan, Thaneth Warakulnukroh, Sarinrat Thomas, Ego Mikitas, Pasin Kuansataporn, Sahajak Boonthanakit, Kanjana Vinaipanid",Thailand,2017,130,"International Movies, Thrillers"
Bad Match,David Chirchirillo,"Jack Cutmore-Scott, Lili Simmons, Brandon Scott, Chase Williamson, Noureen DeWulf, Seth Morris, Christine Donlon, Trent Haaga, Kahyun Kim, Cynthia Rose Hall, Zedrick Restauro, Eric Podnar","Singapore, United States",2017,83,Thrillers
Bad Rap,Salima Koroma,"Jonathan Park, Awkwafina, David Lee, Richard Lee","United States, Canada",2016,83,"Documentaries, Music & Musicals"
Badha,"Sumitra Bhave, Sunil Sukthankar","Amruta Subhash, Rajesh More, Devika Daftardar, Renuka Daftardar, Uttara Baokar, Jyoti Subhash, Milind Shinde, Sachin Mondkar",India,2006,91,"Dramas, International Movies"
Badla,Sujoy Ghosh,"Amitabh Bachchan, Taapsee Pannu, Amrita Singh, Tony Luke, Manav Kaul",India,2019,117,"International Movies, Thrillers"
Balto,Simon Wells,"Kevin Bacon, Bob Hoskins, Bridget Fonda, Jim Cummings, Phil Collins, Jack Angel, Danny Mann, Robbie Rist",United States,1995,78,"Children & Family Movies, Dramas"
Balu Mahi,Haissam Hussain,"Osman Khalid Butt, Ainy Jaffri, Sadaf Kanwal, Khurram Patras, Ali Sheikh, Zeeshan Ali, Durdana Butt, Shafqat Cheema, Adeel Hashmi, Javed Sheikh",Pakistan,2017,149,"International Movies, Romantic Movies"
Banana Island Ghost,BB Sasore,"Chigul, Patrick Diabuah, Adetomiwa Edun, Uche Jumbo, Saidi Balogun, Ali Nuhu, Bimbo Manuel, Akah Nnani, Damilola Adegbite, Dorcas Shola Fapson",Nigeria,2017,108,"Comedies, International Movies"
Band Aid,Zoe Lister-Jones,"Zoe Lister-Jones, Adam Pally, Fred Armisen, Susie Essman, Retta, Hannah Simone, Brooklyn Decker, Angelique Cabral, Colin Hanks, Ravi V. Patel, Jamie Chung, Erinn Hayes, Gillian Zinser, Jesse Williams",United States,2017,94,"Comedies, Dramas, Independent Movies"
Band of Robbers,"Aaron Nee, Adam Nee","Kyle Gallner, Adam Nee, Matthew Gray Gubler, Melissa Benoist, Hannibal Buress, Eric Christian Olsen, Stephen Lang, Daniel Edward Mora, Johnny Pemberton, Cooper Huckabee, Lee Garlington, Beth Grant, Creed Bratton",United States,2015,95,"Action & Adventure, Comedies, Independent Movies"
Bandie,Alo Sarkar,"Uttam Kumar, Sulakshana Pandit, Utpal Dutt, Bindu, Amjad Khan, Helen, Indrani Mukherjee, Padma Khanna, Iftekhar",India,1978,141,"Action & Adventure, Dramas, International Movies"
Bangistan,Karan Anshuman,"Riteish Deshmukh, Pulkit Samrat, Kumud Mishra, Chandan Roy Sanyal, Arya Babbar, Shivkumar Subramaniam, Tom Alter, Jacqueline Fernandez",India,2015,134,"Comedies, Dramas, International Movies"
Barah Aana,Raja Menon,"Naseeruddin Shah, Arjun Mathur, Vijay Raaz, Tannishtha Chatterjee, Violante Placido, Benjamin Gilani",India,2009,95,"Dramas, International Movies"
Barakah Meets Barakah,Mahmoud Sabbagh,"Hisham Fageeh, Fatima Al-Banawi, Sami Hifny, Khairia Nazmi, Abdulmajeed Al-Ruhaidi",Saudi Arabia,2016,88,"Comedies, International Movies, Romantic Movies"
Barbie Dolphin Magic,Conrad Helten,"Erica Lindbeck, Shannon Chan-Kent, Kazumi Evans, Claire Corlett, Ciana Swales, Adrian Petriw, Maryke Hendrikse, Paul Dobson, Garry Chalk",United States,2017,64,Children & Family Movies
Barbie in A Mermaid Tale,Adam Wood,"Kelly Sheridan, Kathleen Barr, Tabitha St. Germain, Peter Mel, Nakia Burrise, Maryke Hendrikse, Emma Pierson, Ciara Janson, Garry Chalk, Nicole Oliver",United States,2010,74,Children & Family Movies
Barbie in Princess Power,Zeke Norton,"Kelly Sheridan, Britt Irvin, Michael Kopsa, Rebecca Husain, Kira Tozer",United States,2015,74,Children & Family Movies
Barbie Star Light Adventure,"Andrew Tan, Michael Goguen","Erica Lindbeck, Robbie Daymond, Kimberly Woods, Sarah Anne Williams, Michael Chandler, Dwight Schultz, Ben Bledsoe, Jonathan Lipow, Lucien Dodge, Laura Post",United States,2016,79,Children & Family Movies
Barbie: A Fairy Secret,William Lau,"Diana Kaarina, Adrian Petriw, Britt Irvin, Cassandra Morris, Kate Higgins, Silvio Pollio, Brittney Wilson, Alexandra Carter, Nicole Oliver, Barbara Tyson",United States,2010,72,Children & Family Movies
Barbie: Princess Charm School,Ezekiel Norton,"Diana Kaarina, Morwenna Banks, Nicole Oliver, Brittney Wilson, Ali Liebert, Shannon Chan-Kent, Madeleine Peters, Cathy Weseluck, Ellen Kennedy, Vincent Tong, Derek Waters, Brian Drummond, Tabitha St. Germain, Bethany Brown, Miranda Nolte, Kelly Metzger, Kazumi Evans, Anna Cummer","United States, Canada",2011,80,Children & Family Movies
Barbie: Spy Squad,Conrad Helten,"Erica Lindbeck, Stephanie Sheh, Jenny Pellicer, Alyssya Swales, Elizabeth Irving, Brian Dobson, Rebecca Husain, Cathy Weseluck","United States, Canada",2016,75,Children & Family Movies
Barbie: Video Game Hero,"Conrad Helten, Ezekiel Norton, Michael Goguen","Erica Lindbeck, Sienna Bohn, Shannon Chan-Kent, Michael Dobson, Alyssya Swales, Rebekah Asselstine, Brad Swaile, Sam Vincent, Ingrid Nilson, Nesta Cooper",United States,2017,72,Children & Family Movies
Barcelona: A Love Untold,Olivia M. Lamasan,"Kathryn Bernardo, Daniel Padilla, Joshua Garcia, Aiko Melendez, Joey Marquez, Ricky Davao, Maria Isabel Lopez, Ana Capri, Cris Villanueva",Philippines,2016,132,"Dramas, International Movies, Romantic Movies"
Bareilly Ki Barfi,Ashwiny Iyer Tiwari,"Ayushmann Khurrana, Kriti Sanon, Rajkummar Rao, Pankaj Tripathi, Seema Pahwa, Rohit Chaudhury, Swati Semwal",India,2017,110,"Comedies, Dramas, International Movies"
Barely Lethal,Kyle Newman,"Hailee Steinfeld, Jessica Alba, Samuel L. Jackson, Sophie Turner, Dove Cameron, Toby Sebastian, Gabriel Basso, Thomas Mann, Rachael Harris, Dan Fogler, Steve-O, Rob Huebel, Finesse Mitchell, Jaime King",United States,2015,99,"Action & Adventure, Comedies"
Barry,Vikram Gandhi,"Devon Terrell, Anya Taylor-Joy, Jason Mitchell, Ashley Judd, Jenna Elfman, Ellar Coltrane, Avi Nash, Linus Roache, John Benjamin Hickey",United States,2016,105,Dramas
Barsaat,Rajkumar Santoshi,"Twinkle Khanna, Bobby Deol, Danny Denzongpa, Raj Babbar, Ashwin Kaushal, Mukesh Khanna, Harish Patel",India,1995,166,"Action & Adventure, International Movies, Music & Musicals"
BASEketball,David Zucker,"Trey Parker, Matt Stone, Dian Bachar, Yasmine Bleeth, Jenny McCarthy, Ernest Borgnine, Robert Vaughn, Trevor Einhorn",United States,1998,103,"Comedies, Sports Movies"
Bathinda Express,Deep Joshi,"Deep Joshi, Jasmine Kaur, Mohit Bhaskar, Vijay S. Kumar, Prince Kanwaljit Singh, Tarlochan Singh, Harsh Sethi",India,2016,118,"Dramas, International Movies, Sports Movies"
Bathtubs Over Broadway,Dava Whisenant,Steve Young,United States,2018,87,"Documentaries, Music & Musicals"
Bawarchi,Hrishikesh Mukherjee,"Rajesh Khanna, A.K. Hangal, Durga Khote, Jaya Bhaduri, Kali Bannerjee, Usha Kiran, Asrani, Paintal",India,1972,125,"Classic Movies, Comedies, Dramas"
Bazaar,Sagar Sarhadi,"Farooq Shaikh, Smita Patil, Naseeruddin Shah, Bharat Kapoor, Supriya Pathak, Rita Rani Kaul, Malika",India,1982,121,"Dramas, Independent Movies, International Movies"
Bbuddah Hoga Terra Baap,Puri Jagannadh,"Amitabh Bachchan, Hema Malini, Raveena Tandon, Sonu Sood, Sonal Chauhan, Charmy Kaur, Prakash Raj, Makrand Deshpande, Subbaraju, Shawar Ali, Rajeev Verma",India,2011,116,"Action & Adventure, Comedies, Dramas"
Be Here Now,Lilibet Foster,Andy Whitfield,"United States, Australia",2015,110,Documentaries
Be Somebody,Joshua Caldwell,"Matthew Espinosa, Sarah Jeffery, Allison Paige, Tava Smiley, Caitlin Keats, LaMonica Garrett, Mahaley Patel, Mason McCulley, Liana Ramirez",United States,2016,88,"Comedies, Dramas, Romantic Movies"
Bean: The Ultimate Disaster Movie,Mel Smith,"Rowan Atkinson, Peter MacNicol, John Mills, Pamela Reed, Harris Yulin, Burt Reynolds, Larry Drake, Danny Goldring, Johnny Galecki, Chris Ellis, Andrew Lawrence, Peter Egan, Peter Capaldi, June Brown, Peter James, Sandra Oh","United Kingdom, United States",1997,89,"Comedies, International Movies"
Beat Bugs: All Together Now,Josh Wakely,"Ashleigh Ball, Lili Beaudoin, Charles Demers, Rebecca Husain, Erin Mathews","Australia, Canada",2017,51,"Children & Family Movies, Music & Musicals"
Beats,Chris Robinson,"Khalil Everage, Anthony Anderson, Uzo Aduba, Emayatzy Corinealdi, Paul Walter Hauser, Dave East, Seandrea Sledge, Ashley Jackson, Megan Sousa",United States,2019,110,"Dramas, Independent Movies, Music & Musicals"
Beauty and the Bestie,Wenn V. Deramas,"Vice Ganda, Coco Martin, James Reid, Nadine Lustre, Karla Estrada, Ryan Bang, Badjie Mortiz, Alonzo Muhlach, Marco Masa, Lassy Marquez, MC Calaquian",Philippines,2015,119,"Action & Adventure, Comedies, International Movies"
Beavis and Butt-head Do America,Mike Judge,"Mike Judge, Bruce Willis, Demi Moore, Cloris Leachman, Robert Stack, Jacqueline Barba, Pamela Blair, Eric Bogosian, Kristofor Brown, Tony Darling, David Letterman",United States,1996,81,"Comedies, Cult Movies"
Because of Soccer,"Agasyah Karim, Khalid Kashogi","Herjunot Ali, Winky Wiryawan, Erly Ashy, Laura Basuki, Tarzan, Aida Nurmala, Otto Djauhari, Indra Herlambang",Indonesia,2008,75,"Comedies, Dramas, International Movies"
Becoming Jane,Julian Jarrold,"Anne Hathaway, James McAvoy, Julie Walters, James Cromwell, Maggie Smith, Laurence Fox, Ian Richardson","United Kingdom, Ireland",2007,121,"Dramas, Romantic Movies"
Before I Wake,Mike Flanagan,"Kate Bosworth, Thomas Jane, Jacob Tremblay, Annabeth Gish, Dash Mihok, Jay Karnes, Lance E. Nichols",United States,2016,97,"Horror Movies, Thrillers"
